date,meanValue,medianValue,sumValue,stdValue,totaltx,price
2020-05-23,4.985219537005298e+18,0.0,1.6600980467005622e+24,4.582909874933772e+20,868425.0,207.35
2020-05-24,4.1282663316271534e+18,0.0,1.2413490445883913e+24,2.3601830628225476e+20,825755.0,206.65
2020-05-25,4.818762930108111e+18,0.0,1.5302463560848456e+24,2.627989656341443e+20,875607.0,199.99
2020-05-26,5.631796242197409e+18,0.0,1.8914387679417315e+24,3.574468545118486e+20,916975.0,204.13
2020-05-27,4.5925822392361e+18,0.0,1.5291783304514265e+24,2.3692222986363424e+20,896217.0,200.99
2020-05-28,6.206044166159151e+18,0.0,2.1103839368346e+24,3.329252630769083e+20,907265.0,208.20
2020-05-29,6.930519578538606e+18,0.0,2.596678562049786e+24,3.521779858525518e+20,949269.0,220.14
2020-05-30,7.030426281730438e+18,0.0,2.439515737202473e+24,3.677197074623164e+20,881950.0,220.66
2020-05-31,6.628889969841031e+18,0.0,2.1759132459300583e+24,6.534669640282503e+20,850103.0,243.63
2020-06-01,5.919175628894706e+18,0.0,2.1026450819494378e+24,3.695864366005905e+20,929874.0,231.80
2020-06-02,9.617119817176656e+18,0.0,3.7392612074766434e+24,1.0420606630916799e+21,980902.0,248.01
2020-06-03,4.30205468558281e+18,0.0,1.5143748739809726e+24,2.2227898947470334e+20,898364.0,237.90
2020-06-04,4.3181746706934886e+18,0.0,1.5840532871487742e+24,2.6445539738250094e+20,930407.0,244.53
2020-06-05,5.46081956169785e+18,0.0,1.8968211355748522e+24,5.143203771479627e+20,901995.0,243.37
2020-06-06,2.796237758693606e+18,0.0,9.288766285846306e+23,1.5186147123974472e+20,946196.0,240.27
2020-06-07,3.586058205779417e+18,0.0,1.1376088306772925e+24,2.089465737046699e+20,943786.0,242.00
2020-06-08,4.275160776440755e+18,0.0,1.578970780527184e+24,2.2786628814680424e+20,966206.0,244.56
2020-06-09,4.558250188621416e+18,0.0,1.6496033937605834e+24,3.0993242459469945e+20,923075.0,246.19
2020-06-10,5.348470924182624e+18,0.0,1.861529956690497e+24,3.178802088865489e+20,939890.0,243.82
2020-06-11,6.823334883862283e+18,0.0,2.3837183950071584e+24,4.4772480160777824e+20,925331.0,247.79
2020-06-12,4.473385286921082e+18,0.0,1.6312423118018257e+24,2.5177538430843706e+20,889318.0,230.72
2020-06-13,2.4559207959519606e+18,0.0,8.43657911825106e+23,1.33358343257009e+20,833267.0,237.55
2020-06-14,3.169706832821218e+18,0.0,1.0097513177836963e+24,2.089637331968672e+20,785017.0,238.23
2020-06-15,7.370072555169867e+18,0.0,2.624298585082058e+24,4.471452175890257e+20,912281.0,231.99
2020-06-16,4.65454845172708e+18,0.0,1.6414311660496478e+24,2.313043746157912e+20,904928.0,230.92
2020-06-17,4.695267488874869e+18,0.0,1.6285817001207596e+24,2.272391712490842e+20,879736.0,235.37
2020-06-18,4.912345575373489e+18,0.0,1.841053787083681e+24,3.6308743351760106e+20,913845.0,233.85
2020-06-19,5.368569048774683e+18,0.0,1.9496226929073195e+24,3.2891496261685844e+20,945942.0,231.34
2020-06-20,2.856351468429618e+18,0.0,1.0472555587360165e+24,1.394537033414842e+20,941415.0,229.11
2020-06-21,4.330078980823239e+18,0.0,1.5197581304519835e+24,4.619209180781313e+20,987058.0,228.87
2020-06-22,6.541429586442445e+18,0.0,2.523245258667042e+24,4.5386867232162074e+20,1092083.0,228.11
2020-06-23,5.963098558840145e+18,0.0,2.3936116139122772e+24,4.2560968352012114e+20,1119442.0,243.24
2020-06-24,1.0989970417284094e+19,0.0,4.192574804461733e+24,1.857192214175535e+21,1070862.0,243.20
2020-06-25,1.495101107535066e+19,0.0,5.651437333451179e+24,1.3994308837890397e+21,1041742.0,234.75
2020-06-26,7.374016912721834e+18,0.0,2.807509459181055e+24,9.98205323734681e+20,1017505.0,232.57
2020-06-27,4.872445871971069e+18,0.0,1.82927209860517e+24,3.281130692667059e+20,1017138.0,229.72
