,meanValue,medianValue,stdValue,sumValue,totaltx,inputDegree,outputDegree,price
2020-07-22,260012882.64719623,6308003.0,94597106926055.0,3535910610.2350507,103269918.086,659563,853903,9537.4
2020-07-23,303335216.5838073,6324873.0,102022856740148.0,4175814115.16746,168395155.0164,616350,800663,9613.11
2020-07-24,278549257.1178711,5254366.0,102816709041063.0,5051633358.407798,128787740.2896,696174,861249,9551.28
2020-07-25,271277727.217415,5317706.0,79674539761482.0,4093816692.707038,83145125.8,565730,704312,9707.5
2020-07-26,245191803.0881056,4490061.0,73369233621660.0,3959798582.0178456,169823595.5504,575777,701727,9938.83
2020-07-27,383050084.4486242,6978504.0,125329007980492.0,5685908742.25726,569642411.592,613920,784133,11042.4
2020-07-28,353906901.2818842,6587202.0,125416112048669.0,5656965268.846733,352662968.6388,646663,837810,10934.94
2020-07-29,325594377.4337542,5264824.0,113026506587976.0,5040121173.330791,253835681.0886,649125,824063,11102.67
2020-07-30,319108502.9429675,5517482.5,104641422068052.0,5062963720.958564,201165672.4417,593006,786748,11114.93
2020-07-31,286593076.7045551,4816298.0,102259562292029.0,4607742172.522803,222815243.1332,668675,841332,11343.88
2020-08-01,286939687.56749195,4939732.5,84718942754302.0,4334629999.527245,240815458.968,554978,709806,11823.69
2020-08-02,275547668.57902986,4000000.0,79278921917547.0,4291473673.378081,289592847.786,559697,689949,11077.77
2020-08-03,339036497.1800196,4731646.5,113291757824681.0,16699653666.023617,159671026.4652,638896,800043,11242.57
2020-08-04,301018158.8124548,4922214.5,99005474469734.0,4800606718.869306,122455803.7725,603844,791971,11194.25
2020-08-05,344490807.42977256,5781811.0,100792842891840.0,7304518631.794047,182136390.168,552799,718494,11750.28
2020-08-06,329954546.9658409,4851500.0,117534758947437.0,17051905415.966043,203809369.9392,690137,841222,11772.94
2020-08-07,314774285.9866493,4437916.0,102773489600355.0,5743344309.216286,215793133.728,620836,789744,11605.6
2020-08-08,283993526.5703328,3993070.5,80680288950419.0,13664528332.728975,86008564.668,549801,684740,11767.6
2020-08-09,259910060.16687268,3488563.5,69810282700461.0,5524058682.094941,59683346.886,498247,650235,11684.06
2020-08-10,333306403.29402226,5629956.0,102744698573012.0,5251142485.964745,218397180.6838,566268,752025,11893.03
2020-08-11,296235393.7883928,5000000.0,103480059051980.0,4810615974.779786,249861736.7918,653870,833453,11392.43
2020-08-12,281243825.148379,4672145.0,97412455009868.0,4388078162.471365,141688775.6123,641183,828876,11573.11
2020-08-13,277821689.2482528,4696424.0,90436238462402.0,4284171646.034716,161732026.4091,586990,790445,11777.43
2020-08-14,396310967.79485226,4219473.5,145059325676143.0,7899055560.369153,131449767.039,680632,873284,11774.38
2020-08-15,455904694.0790285,3392069.0,142998610440134.0,10451493144.864635,101333020.2792,585258,754762,11873.98
2020-08-16,642903492.4163398,2947356.0,183683313914780.0,18256283661.94635,63773670.1483,516766,688086,11914.01
2020-08-17,998070094.5009996,5046226.0,292100184207135.0,26761634249.63091,253521339.7144,518111,721992,12293.72
2020-08-18,601879367.8912383,5479680.0,207588795865056.0,18287898147.518684,217771115.2187,626768,828076,11969.53
2020-08-19,567911135.8843998,4942349.0,190593816758484.0,17178119899.119549,208815095.82,607302,810682,11734.0
2020-08-20,549379484.7031523,4455439.0,182591216156455.0,16593858277.15178,96746302.1552,617140,795441,11865.82
2020-08-21,475157569.869373,4938436.5,149632820642704.0,13867294779.427904,153928936.99199998,592072,767239,11522.8
2020-08-22,432459567.62938696,4260693.0,134572335795345.0,14729857470.98546,85029155.46000001,576599,738472,11683.44
2020-08-23,474780230.0565263,2990467.0,137135046869297.0,16628010803.504623,39027595.4028,523796,689905,11653.02
2020-08-24,574712323.3160137,4324109.5,189119434808954.0,17492612742.95157,75749356.9416,588296,790564,11763.93
2020-08-25,526217197.3512259,5190897.0,160087374429782.0,15211223029.706505,168869325.88599998,548392,752700,11337.4
2020-08-26,600835932.9677812,4657185.0,195269875706730.0,18265464294.641197,104337127.35570002,602108,782744,11467.37
2020-08-27,609777698.0126753,5460000.0,199501579236505.0,19466717602.50473,152064701.8666,574456,793286,11302.01
2020-08-28,619323044.5092069,4642045.0,218786393964634.0,20916520809.7822,125753228.67,673891,840882,11534.75
2020-08-29,590239210.8909606,3963124.0,172655593491402.0,21345185967.01131,48056174.58719999,545241,709796,11481.64
2020-08-30,651350580.9330317,3791063.0,174926712015375.0,23536586592.77589,54121905.8394,492370,653685,11707.78
2020-08-31,893522004.3545072,5640289.0,271862111522898.0,28342160363.30577,102290923.3541,551398,756404,11659.57
2020-09-01,700575913.5598199,5105015.5,263331073237038.0,25578151001.40051,176627448.525,688276,900760,11923.25
2020-09-02,727466328.2285808,5511693.0,230755956645747.0,25280518298.979923,265432700.672,580942,786266,11397.44
2020-09-03,885078731.5096588,6559412.0,275863994273125.0,31302591100.94508,361418115.3909,578172,776216,10187.51
2020-09-04,892121224.194098,7122253.0,265428367228349.0,28458179382.814453,310980390.1567,570691,758223,10467.89
2020-09-05,740043810.5333047,4601665.5,241113673909856.0,27877092256.95548,222072428.23080003,621841,788567,10159.62
2020-09-06,873292620.949879,3745393.0,229348474576962.0,32868507639.90008,89153592.5889,520099,641867,10254.93
2020-09-07,911774766.9816556,4533080.0,298368262972310.0,32632236985.294662,153205856.4958,634478,794210,10367.74
