,BTC,ETH, LTC,XRP,DOGE,USDT,BNB,ADA
291,11362.1,368.61,46.948,0.24057,0.002585,1.0004,30.19,0.105949
292,11507.1,377.85,47.549,0.24216,0.002592,1.0005,30.59,0.107339
293,11753.9,379.03,48.015,0.24564,0.002592,1.0006,29.92,0.108583
294,11913.6,368.53,46.905,0.24324,0.002595,1.001,28.73,0.10227
295,12805.5,391.39,52.956,0.25105,0.002624,1.0018,29.72,0.105922
296,12972.7,414.12,54.348,0.25701,0.002647,1.0009,30.59,0.110765
297,12933.6,408.59,55.431,0.25471,0.002644,1.001,30.57,0.108073
298,13117.0,412.44,59.266,0.25611,0.002634,1.0009,30.59,0.107951
299,13033.0,406.45,58.852,0.25311,0.002651,1.0007,30.09,0.10638
300,13061.5,393.93,56.848,0.24815,0.002666,1.0012,31.03,0.103055
301,13658.3,403.11,57.894,0.25268,0.002674,1.0007,31.47,0.102614
302,13278.3,388.25,55.752,0.24552,0.002583,1.0006,30.33,0.098714
303,13457.0,387.16,54.969,0.24248,0.002576,1.0005,29.84,0.095421
304,13560.2,382.81,54.037,0.23914,0.002583,1.0007,28.51,0.093298
305,13795.5,386.36,55.732,0.23971,0.002569,1.0009,28.42,0.092965
306,13759.7,396.45,55.572,0.2399,0.002576,1.0008,28.55,0.098099
307,13560.5,383.64,53.769,0.23528,0.002513,1.0009,27.75,0.092265
308,14023.0,388.23,53.892,0.23945,0.002517,1.0005,26.89,0.093604
309,14145.6,402.50,54.632,0.23743,0.002546,1.0015,26.98,0.095449
310,15593.9,416.59,58.892,0.24567,0.002639,1.0013,27.69,0.097533
311,15578.2,455.78,63.26,0.25861,0.002757,1.0014,29.02,0.109067
312,14826.6,435.39,58.862,0.24898,0.00267,1.0012,27.63,0.101283
313,15483.3,454.55,61.005,0.25366,0.002707,1.0004,28.41,0.106566
314,15328.0,444.38,59.252,0.25054,0.002671,1.0005,27.94,0.105338
315,15303.1,450.26,57.939,0.25376,0.00276,1.0014,28.21,0.105973
316,15695.8,463.33,59.224,0.2558,0.002757,1.0011,28.01,0.105982
